"option.investigator.AnonymousFootPrint": "Anonymous Footprint"
"option.investigator.FootprintDuration": "Footprint Duration"
"option.investigator.FootprintInterval": "Footprint Interval"
"option.investigator.FootprintSize": "Footprint Size"
"option.investigator.VentFootprintVisible": "Footprint Vent Visible"
"option.jester.JesterButton": "Jester Can Button"
"option.jester.JesterHaunt": "Jester Haunts Player On Victory"
"option.jester.JesterImpVision": "Jester Has Impostor Vision"
"option.jester.JesterVent": "Jester Can Hide In Vents"
"option.juggernaut.JuggKillCooldown": "Juggernaut Initial Kill Cooldown"
"option.juggernaut.JuggVent": "Juggernaut Can Vent"
"option.juggernaut.ReducedKCdPerKill": "Reduced Kill Cooldown Per Kill"
"option.lovers.BothLoversDie": "Both Lovers Die"
"option.lovers.LovingImpPercent": "Loving Impostor Probability"
"option.lovers.NeutralLovers": "Neutral Roles Can Be Lovers"
"option.main.AddArsonist": "Add Arsonist"
"option.main.AddPlaguebearer": "Add Plaguebearer"
"option.main.AllAnySettings": "All Any Settings"
"option.main.AutoAdjustSettings": "Auto Adjust Settings"
"option.main.BetterPolusSettings": "Better Polus Settings"
"option.main.ClassicSettings": "Classic Game Mode Settings"
"option.main.ColdTempDeathValley": "Cold Temp Moved To Death Valley"
"option.main.ColourblindComms": "Camouflaged Comms"
"option.main.ConversionPercentage": "Conversion Percentage"
"option.main.CultistSettings": "Cultist Settings"
"option.main.CustomGameSettings": "Custom Game Settings"
"option.main.DeadSeeRoles": "Dead Can See Everyone's Roles/Votes"
"option.main.DecreasedPercentagePerConversion": "Decreased Conversion Percentage Per Conversion"
"option.main.FirstDeathShield": "First Death Shield Next Game"
"option.main.GameMode": "Game Mode"
"option.main.GameMode.text1": "Classic"
"option.main.GameMode.text2": "All Any"
"option.main.GameMode.text3": "Killing Only"
"option.main.GameMode.text5": "Cultist"
"option.main.GameModeSettings": "Game Mode Settings"
"option.main.HiddenRoles": "Enable Hidden Roles"
"option.main.ImpostorSeeRoles": "Impostors Can See The Roles Of Their Team"
"option.main.IncreasedCooldownPerRevive": "Increased Cooldown Per Revive"
"option.main.IncreasedCooldownPerWhisper": "Increased Cooldown Per Whisper"
"option.main.InitialCooldowns": "Game Start Cooldowns"
"option.main.KillingOnlySettings": "Killing Only Settings"
"option.main.LargeMapDecreasedLongTasks": "Airship/Submerged Decreased Long Tasks"
"option.main.LargeMapDecreasedShortTasks": "Airship/Submerged Decreased Short Tasks"
"option.main.LargeMapIncreasedCooldown": "Airship/Submerged Increased Cooldowns"
"option.main.MapSettings": "Map Settings"
"option.main.MaxChameleons": "Max Chameleons"
"option.main.MaxEngineers": "Max Engineers"
"option.main.MaxInvestigators": "Max Investigators"
"option.main.MaxMystics": "Max Mystics"
"option.main.MaxNeutralBenignRoles": "Max Neutral Benign Roles"
"option.main.MaxNeutralEvilRoles": "Max Neutral Evil Roles"
"option.main.MaxNeutralKillingRoles": "Max Neutral Killing Roles"
"option.main.MaxReveals": "Maximum Number Of Reveals"
"option.main.MaxSnitches": "Max Snitches"
"option.main.MaxSpies": "Max Spies"
"option.main.MaxTransporters": "Max Transporters"
"option.main.MaxVigilantes": "Max Vigilantes"
"option.main.MayorCultistOn": "<color=#704FA8FF>Mayor</color> (Cultist Mode)"
"option.main.MinNeutralBenignRoles": "Min Neutral Benign Roles"
"option.main.MinNeutralEvilRoles": "Min Neutral Evil Roles"
"option.main.MinNeutralKillingRoles": "Min Neutral Killing Roles"
"option.main.NeutralEvilWinEndsGame": "Neutral Evil Win Ends Game"
"option.main.NeutralRoles": "Neutral Roles"
"option.main.NumberOfSpecialRoles": "Number Of Special Roles"
"option.main.ParallelMedScans": "Parallel Medbay Scans"
"option.main.RandomMapAirship": "Airship Chance"
"option.main.RandomMapEnabled": "Choose Random Map"
"option.main.RandomMapFungle": "Fungle Chance"
"option.main.RandomMapMira": "Mira Chance"
"option.main.RandomMapPolus": "Polus Chance"
"option.main.RandomMapSkeld": "Skeld Chance"
"option.main.RandomMapSubmerged": "Submerged Chance"
"option.main.RandomNumberImps": "Random Number Of Impostors"
"option.main.ReviveCooldown": "Initial Revive Cooldown"
"option.main.SeeTasksDuringMeeting": "See Tasks During Meetings"
"option.main.SeeTasksDuringRound": "See Tasks During Round"
"option.main.SeeTasksWhenDead": "See Tasks When Dead"
"option.main.SeerCultistOn": "<color=#FFCC80FF>Seer</color> (Cultist Mode)"
"option.main.SheriffCultistOn": "<color=#FFFF00FF>Sheriff</color> (Cultist Mode)"
"option.main.SkipButtonDisable": "Disable Meeting Skip Button"
"option.main.SmallMapDecreasedCooldown": "Mira HQ Decreased Cooldowns"
"option.main.SmallMapHalfVision": "Half Vision On Skeld/Mira HQ"
"option.main.SmallMapIncreasedLongTasks": "Skeld/Mira HQ Increased Long Tasks"
"option.main.SmallMapIncreasedShortTasks": "Skeld/Mira HQ Increased Short Tasks"
"option.main.SurvivorCultistOn": "<color=#FFE64DFF>Survivor</color> (Cultist Mode)"
"option.main.TaskTrackingSettings": "Task Tracking Settings"
"option.main.VentImprovements": "Better Polus Vent Layout"
"option.main.VeteranCount": "Veteran Count"
"option.main.VigilanteCount": "Vigilante Count"
"option.main.VitalsLab": "Vitals Moved To Lab"
"option.main.WhisperCooldown": "Initial Whisper Cooldown"
"option.main.WhisperRadius": "Whisper Radius"
"option.main.WifiChartCourseSwap": "Reboot Wifi And Chart Course Swapped"
"option.medic.MedicReportColorDuration": "Time Where Medic Will Have Color Type"
"option.medic.MedicReportNameDuration": "Time Where Medic Will Have Name"
"option.medic.MedicReportSwitch": "Show Medic Reports"
"option.medic.ShieldBreaks": "Shield Breaks On Murder Attempt"
"option.medic.ShowShielded": "Show Shielded Player"
"option.medic.ShowShielded.text1": "Self"
"option.medic.ShowShielded.text2": "Medic"
"option.medic.ShowShielded.text3": "Self+Medic"
"option.medic.ShowShielded.text4": "Everyone"
"option.medic.WhoGetsNotification": "Who Gets Murder Attempt Indicator"
"option.medic.WhoGetsNotification.text1": "Medic"
"option.medic.WhoGetsNotification.text2": "Shielded"
"option.medic.WhoGetsNotification.text3": "Everyone"
"option.medic.WhoGetsNotification.text4": "Nobody"
"option.medium.DeadRevealed": "Who Is Revealed With Mediate"
"option.medium.DeadRevealed.text1": "Oldest Dead"
"option.medium.DeadRevealed.text2": "Newest Dead"
"option.medium.DeadRevealed.text3": "All Dead"
"option.medium.MediateCooldown": "Mediate Cooldown"
"option.medium.ShowMediatePlayer": "Reveal Appearance Of Mediate Target"
"option.medium.ShowMediumToDead": "Reveal The Medium To The Mediate Target"
"option.miner.MineCooldown": "Mine Cooldown"
"option.morphling.MorphlingCooldown": "Morphling Cooldown"
"option.morphling.MorphlingDuration": "Morphling Duration"
"option.morphling.MorphlingVent": "Morphling Can Vent"
"option.mystic.MysticArrowDuration": "Dead Body Arrow Duration"
"option.off.text": "Off"
"option.on.text": "On"
"option.oracle.ConfessCooldown": "Confess Cooldown"
"option.oracle.NeutralBenignShowsEvil": "Neutral Benign Roles Show Evil"
"option.oracle.NeutralEvilShowsEvil": "Neutral Evil Roles Show Evil"
"option.oracle.NeutralKillingShowsEvil": "Neutral Killing Roles Show Evil"
"option.oracle.RevealAccuracy": "Reveal Accuracy"
"option.phantom.PhantomSpook": "Phantom Spooks Player On Victory"
"option.phantom.PhantomTasksRemaining": "Tasks Remaining When Phantom Can Be Clicked"
"option.plaguebearer.InfectCooldown": "Infect Cooldown"
"option.plaguebearer.PestKillCooldown": "Pestilence Kill Cooldown"
"option.plaguebearer.PestVent": "Pestilence Can Vent"
"option.preset.saveSt": "Saved Settings"
"option.prosecutor.ProsDiesOnIncorrectPros": "Prosecutor Dies When They Exile A Crewmate"
"option.save.new": "Save To New File"
"option.save.return": "Return"
"option.seer.CrewKillingRed": "Crewmate Killing Roles Are Red"
"option.seer.NeutBenignRed": "Neutral Benign Roles Are Red"
"option.seer.NeutEvilRed": "Neutral Evil Roles Are Red"
"option.seer.NeutKillingRed": "Neutral Killing Roles Are Red"
"option.seer.SeerCooldown": "Seer Cooldown"
"option.seer.TraitorColourSwap": "Traitor Does Not Swap Colours"
"option.sheriff.SheriffBodyReport": "Sheriff Can Report Who They've Killed"
"option.sheriff.SheriffKillCd": "Sheriff Kill Cooldown"
"option.sheriff.SheriffKillOther": "Sheriff Miskill Kills Crewmate"
"option.sheriff.SheriffKillsArsonist": "Sheriff Kills Arsonist"
"option.sheriff.SheriffKillsDoomsayer": "Sheriff Kills Doomsayer"
"option.sheriff.SheriffKillsExecutioner": "Sheriff Kills Executioner"
"option.sheriff.SheriffKillsGlitch": "Sheriff Kills The Glitch"
"option.sheriff.SheriffKillsJester": "Sheriff Kills Jester"
"option.sheriff.SheriffKillsJuggernaut": "Sheriff Kills Juggernaut"
"option.sheriff.SheriffKillsPlaguebearer": "Sheriff Kills Plaguebearer"
"option.sheriff.SheriffKillsVampire": "Sheriff Kills Vampire"
"option.sheriff.SheriffKillsWerewolf": "Sheriff Kills Werewolf"
"option.snitch.SnitchSeesImpInMeeting": "Snitch Sees Impostors In Meetings"
"option.snitch.SnitchSeesNeutrals": "Snitch Sees Neutral Roles"
"option.snitch.SnitchSeesTraitor": "Snitch Sees Traitor"
"option.snitch.SnitchTasksRemaining": "Tasks Remaining When Revealed"
"option.spy.WhoSeesDead": "Who Sees Dead Bodies On Admin"
"option.spy.WhoSeesDead.text1": "Nobody"
"option.spy.WhoSeesDead.text2": "Spy"
"option.spy.WhoSeesDead.text3": "Everyone But Spy"
"option.spy.WhoSeesDead.text4": "Everyone"
"option.survivor.MaxVests": "Maximum Number Of Vests"
"option.survivor.VestCd": "Vest Cooldown"
"option.survivor.VestDuration": "Vest Duration"
"option.survivor.VestKCReset": "Kill Cooldown Reset On Attack"
"option.swapper.SwapperButton": "Swapper Can Button"
"option.swooper.SwoopCooldown": "Swoop Cooldown"
"option.swooper.SwoopDuration": "Swoop Duration"
"option.swooper.SwooperVent": "Swooper Can Vent"
"option.tracker.MaxTracks": "Maximum Number Of Tracks Per Round"
"option.tracker.ResetOnNewRound": "Tracker Arrows Reset After Each Round"
"option.tracker.TrackCooldown": "Track Cooldown"
"option.tracker.UpdateInterval": "Arrow Update Interval"
"option.traitor.LatestSpawn": "Minimum People Alive When Traitor Can Spawn"
"option.traitor.NeutralKillingStopsTraitor": "Traitor Won't Spawn If Any Neutral Killing Is Alive"
"option.transporter.TransportCooldown": "Transport Cooldown"
"option.transporter.TransportMaxUses": "Maximum Number Of Transports"
"option.transporter.TransporterVitals": "Transporter Can Use Vitals"
"option.trapper.MaxTraps": "Maximum Number Of Traps Per Game"
"option.trapper.MinAmountOfPlayersInTrap": "Minimum Number Of Roles Required To Trigger Trap"
"option.trapper.MinAmountOfTimeInTrap": "Min Amount Of Time In Trap To Register"
"option.trapper.TrapCooldown": "Trap Cooldown"
"option.trapper.TrapSize": "Trap Size"
"option.trapper.TrapsRemoveOnNewRound": "Traps Removed After Each Round"
"option.underdog.UnderdogIncreasedKC": "Increased Kill Cooldown When 2+ Imps"
"option.underdog.UnderdogKillBonus": "Kill Cooldown Bonus"
"option.undertaker.DragCooldown": "Drag Cooldown"
"option.undertaker.UndertakerDragSpeed": "Undertaker Drag Speed"
"option.undertaker.UndertakerVent": "Undertaker Can Vent"
"option.undertaker.UndertakerVentWithBody": "Undertaker Can Vent While Dragging"
"option.vampire.BiteCooldown": "Vampire Bite Cooldown"
"option.vampire.CanBiteNeutralBenign": "Can Convert Neutral Benign Roles"
"option.vampire.CanBiteNeutralEvil": "Can Convert Neutral Evil Roles"
"option.vampire.MaxVampiresPerGame": "Maximum Vampires Per Game"
"option.vampire.NewVampCanAssassin": "New Vampire Can Assassinate"
"option.vampire.VampImpVision": "Vampires Have Impostor Vision"
"option.vampire.VampVent": "Vampires Can Vent"
"option.vampirehunter.BecomeOnVampDeaths": "What Vampire Hunter Becomes On All Vampire Deaths"
"option.vampirehunter.CanStakeRoundOne": "Can Stake Round One"
"option.vampirehunter.MaxFailedStakesPerGame": "Maximum Failed Stakes Per Game"
"option.vampirehunter.SelfKillAfterFinalStake": "Self Kill On Failure To Kill A Vamp With All Stakes"
"option.vampirehunter.StakeCooldown": "Stake Cooldown"
"option.venerer.AbilityCooldown": "Ability Cooldown"
"option.venerer.AbilityDuration": "Ability Duration"
"option.venerer.FreezeSpeed": "Freeze Speed"
"option.venerer.SprintSpeed": "Sprint Speed"
"option.veteran.AlertCooldown": "Alert Cooldown"
"option.veteran.AlertDuration": "Alert Duration"
"option.veteran.KilledOnAlert": "Can Be Killed On Alert"
"option.veteran.MaxAlerts": "Maximum Number Of Alerts"
"option.vigilante.VigilanteAfterVoting": "Vigilante Can Guess After Voting"
"option.vigilante.VigilanteGuessLovers": "Vigilante Can Guess Lovers"
"option.vigilante.VigilanteGuessNeutralBenign": "Vigilante Can Guess Neutral Benign Roles"
"option.vigilante.VigilanteGuessNeutralEvil": "Vigilante Can Guess Neutral Evil Roles"
"option.vigilante.VigilanteGuessNeutralKilling": "Vigilante Can Guess Neutral Killing Roles"
"option.vigilante.VigilanteKills": "Number Of Vigilante Kills"
"option.vigilante.VigilanteMultiKill": "Vigilante Can Kill More Than Once Per Meeting"
"option.warlock.ChargeUpDuration": "Time It Takes To Fully Charge"
"option.warlock.ChargeUseDuration": "Time It Takes To Use Full Charge"
"option.werewolf.RampageCooldown": "Rampage Cooldown"
"option.werewolf.RampageDuration": "Rampage Duration"
"option.werewolf.RampageKillCooldown": "Rampage Kill Cooldown"
"option.werewolf.WerewolfVent": "Werewolf Can Vent When Rampaged"
"other.modName.text": "<color=#00FF00FF>Town Of <color=#00FFFF>Weekend</color></color>"
"other.pingTracker.baseOn": "Base on"
"other.pingTracker.modby": "Modded By:"
"roleIntro.chameleon.ImpostorText": "Turn Invisible Temporarily"
"roleIntro.chameleon.TaskText": "Turn invisible to catch killers"
"roleName.main.altruist": "Altruist"
"roleName.main.amnesiac": "Amnesiac"
"roleName.main.arsonist": "Arsonist"
"roleName.main.aurial": "Aurial"
"roleName.main.blackmailer": "Blackmailer"
"roleName.main.bomber": "Bomber"
"roleName.main.chameleon": "Chameleon"
"roleName.main.crewmate": "Crewmate"
"roleName.main.detective": "Detective"
"roleName.main.doomsayer": "Doomsayer"
"roleName.main.engineer": "Engineer"
"roleName.main.escapist": "Escapist"
"roleName.main.executioner": "Executioner"
"roleName.main.glitch": "The Glitch"
"roleName.main.grenadier": "Grenadier"
"roleName.main.guardianangel": "Guardian Angel"
"roleName.main.haunter": "Haunter"
"roleName.main.imitator": "Imitator"
"roleName.main.impostor": "Impostor"
"roleName.main.investigator": "Investigator"
"roleName.main.janitor": "Janitor"
"roleName.main.jester": "Jester"
"roleName.main.juggernaut": "Juggernaut"
"roleName.main.mayor": "Mayor"
"roleName.main.medic": "Medic"
"roleName.main.medium": "Medium"
"roleName.main.miner": "Miner"
"roleName.main.morphling": "Morphling"
"roleName.main.mystic": "Mystic"
"roleName.main.oracle": "Oracle"
"roleName.main.phantom": "Phantom"
"roleName.main.plaguebearer": "Plaguebearer"
"roleName.main.prosecutor": "Prosecutor"
"roleName.main.seer": "Seer"
"roleName.main.sheriff": "Sheriff"
"roleName.main.snitch": "Snitch"
"roleName.main.spy": "Spy"
"roleName.main.survivor": "Survivor"
"roleName.main.swapper": "Swapper"
"roleName.main.swooper": "Swooper"
"roleName.main.tracker": "Tracker"
"roleName.main.traitor": "Traitor"
"roleName.main.transporter": "Transporter"
"roleName.main.trapper": "Trapper"
"roleName.main.undertaker": "Undertaker"
"roleName.main.vampire": "Vampire"
"roleName.main.vampirehunter": "Vampire Hunter"
"roleName.main.venerer": "Venerer"
"roleName.main.veteran": "Veteran"
"roleName.main.vigilante": "Vigilante"
"roleName.main.warlock": "Warlock"
"roleName.main.werewolf": "Werewolf"
"roleName.modifiers.aftermath": "Aftermath"
"roleName.modifiers.bait": "Bait"
"roleName.modifiers.buttonbarry": "Button Barry"
"roleName.modifiers.diseased": "Diseased"
"roleName.modifiers.disperser": "Disperser"
"roleName.modifiers.doubleshot": "Double Shot"
"roleName.modifiers.flash": "Flash"
"roleName.modifiers.frosty": "Frosty"
"roleName.modifiers.giant": "Giant"
"roleName.modifiers.lover": "Lover"
"roleName.modifiers.multitasker": "Multitasker"
"roleName.modifiers.radar": "Radar"
"roleName.modifiers.sleuth": "Sleuth"
"roleName.modifiers.tiebreaker": "Tiebreaker"
"roleName.modifiers.torch": "Torch"
"roleName.modifiers.underdog": "Underdog"
