"option.altruist.AltruistTargetBody": "复活时目标尸体消失"
"option.executioner.ExecutionerTorment": "胜利后折磨玩家"
"option.executioner.OnTargetDead": "目标死亡后转化为"
"option.flash.FlashSpeed": "闪烁速度"
"option.frosty.ChillDuration": "冰冻持续时间"
"option.frosty.ChillStartSpeed": "冰冻起始速度"
"option.giant.GiantSlow": "巨人移动速度"
"option.glitch.GlitchHackDistance": "黑客距离"
"option.glitch.GlitchHackDistance.text1": "短距离"
"option.glitch.GlitchHackDistance.text2": "中距离"
"option.glitch.GlitchHackDistance.text3": "长距离"
"option.glitch.GlitchKillCooldown": "混沌攻击冷却时间"
"option.glitch.GlitchVent": "可使用通风口"
"option.glitch.HackCooldown": "黑客冷却时间"
"option.glitch.HackDuration": "黑客持续时间"
"option.glitch.MimicCooldown": "模仿冷却时间"
"option.glitch.MimicDuration": "模仿持续时间"
"option.grenadier.FlashRadius": "闪光范围"
"option.grenadier.GrenadeCooldown": "闪光弹冷却时间"
"option.grenadier.GrenadeDuration": "闪光弹持续时间"
"option.grenadier.GrenadierIndicators": "标记被闪船员"
"option.grenadier.GrenadierVent": "可使用通风口"
"option.guardianangel.EvilTargetPercent": "目标为邪恶角色概率"
"option.guardianangel.GAKnowsTargetRole": "知晓目标角色"
"option.guardianangel.GATargetKnows": "目标知晓守护天使存在"
"option.guardianangel.GaOnTargetDeath": "目标死亡后转化为"
"option.guardianangel.MaxProtects": "最大守护次数"
"option.guardianangel.ProtectCd": "守护冷却时间"
"option.guardianangel.ProtectDuration": "守护持续时间"
"option.guardianangel.ProtectKCReset": "守护重置攻击冷却"
"option.guardianangel.ShowProtect": "显示被守护玩家"
"option.guardianangel.ShowProtect.text1": "自身"
"option.guardianangel.ShowProtect.text2": "自身 + 守护天使"
"option.guardianangel.ShowProtect.text3": "所有人"
"option.haunter.HaunterCanBeClickedBy": "可点击冤魂的角色"
"option.haunter.HaunterCanBeClickedBy.text1": "所有人"
"option.haunter.HaunterCanBeClickedBy.text2": "非船员"
"option.haunter.HaunterCanBeClickedBy.text3": "仅伪装者"
"option.haunter.HaunterRevealsNeutrals": "冤魂揭露独立角色"
"option.haunter.HaunterTasksRemainingAlert": "触发警报剩余任务数"
"option.haunter.HaunterTasksRemainingClicked": "可点击冤魂剩余任务数"
"option.header.CrewInvestigativeRoles": "船员 - 情报型"
"option.header.CrewKillingRoles": "船员 - 杀戮型职业"
"option.header.CrewProtectiveRoles": "船员 - 防护型职业"
"option.header.CrewSupportRoles": "船员 - 支援型职业"
"option.header.ImpostorConcealingRoles": "伪装者 - 隐匿型职业"
"option.header.NeutralBenignRoles": "中立善良职业"
"option.header.NeutralEvilRoles": "中立邪恶职业"
"option.imposter.AmneTurnImpAssassin": "失忆者转伪装者获得暗杀"
"option.imposter.AmneTurnNeutAssassin": "失忆者转伪装者获得暗杀"
"option.imposter.Assassin": "刺客能力"
"option.imposter.AssassinCrewmateGuess": "可猜测船员"
"option.imposter.AssassinGuessImpostors": "可猜测伪装者"
"option.imposter.AssassinGuessLovers": "可猜测恋人"
"option.imposter.AssassinGuessModifiers": "可猜测附加职业"
"option.imposter.AssassinGuessNeutralBenign": "可猜测中立善良角色"
"option.imposter.AssassinGuessNeutralEvil": "可猜测中立邪恶角色"
"option.imposter.AssassinGuessNeutralKilling": "可猜测中立杀戮角色"
"option.imposter.AssassinKills": "暗杀次数"
"option.imposter.AssassinMultiKill": "单回合多次暗杀"
"option.imposter.AssassinateAfterVoting": "投票后可暗杀"
"option.imposter.NumberOfImpostorAssassins": "伪装者暗杀者数量"
"option.imposter.NumberOfNeutralAssassins": "中立暗杀者数量"
"option.imposter.TraitorCanAssassin": "背叛者可暗杀"
"option.investigator.AnonymousFootPrint": "匿名脚印"
"option.investigator.FootprintDuration": "脚印持续时间"
"option.investigator.FootprintInterval": "脚印生成间隔"
"option.investigator.FootprintSize": "脚印大小"
"option.investigator.VentFootprintVisible": "通风口脚印可见"
"option.jester.JesterButton": "小丑可用按钮"
"option.jester.JesterHaunt": "胜利后附身玩家"
"option.jester.JesterImpVision": "拥有伪装者视野"
"option.jester.JesterVent": "可隐藏于通风口"
"option.juggernaut.JuggKillCooldown": "天启初始冷却时间"
"option.juggernaut.JuggVent": "可使用通风口"
"option.juggernaut.ReducedKCdPerKill": "每次击杀减少冷却时间"
"option.lovers.BothLoversDie": "恋人同生共死"
"option.lovers.LovingImpPercent": "伪装者恋爱概率"
"option.lovers.NeutralLovers": "中立角色可成为恋人"
"option.main.AddArsonist": "加入纵火犯"
"option.main.AddPlaguebearer": "加入瘟疫之源"
"option.main.AllAnySettings": "全随机模式设置"
"option.main.AutoAdjustSettings": "自动调整设置"
"option.main.BetterPolusSettings": "优化 Polus 设置"
"option.main.ClassicSettings": "经典模式设置"
"option.main.ColdTempDeathValley": "低温区移至死亡谷"
"option.main.ColourblindComms": "色盲模式通信"
"option.main.ConversionPercentage": "转化概率"
"option.main.CultistSettings": "邪教模式设置"
"option.main.CustomGameSettings": "自定义游戏设置"
"option.main.DeadSeeRoles": "死亡玩家可见角色 / 投票"
"option.main.DecreasedPercentagePerConversion": "每次转化降低概率"
"option.main.FirstDeathShield": "首杀保护下一回合"
"option.main.GameMode": "游戏模式"
"option.main.GameMode.text1": "经典模式"
"option.main.GameMode.text2": "全随机模式"
"option.main.GameMode.text3": "仅杀戮模式"
"option.main.GameMode.text5": "邪教模式"
"option.main.GameModeSettings": "游戏模式设置"
"option.main.HiddenRoles": "启用隐藏角色"
"option.main.ImpostorSeeRoles": "伪装者可见队友角色"
"option.main.IncreasedCooldownPerRevive": "每次复活增加冷却"
"option.main.IncreasedCooldownPerWhisper": "每次耳语增加冷却"
"option.main.InitialCooldowns": "游戏开始冷却时间"
"option.main.KillingOnlySettings": "仅杀戮模式设置"
"option.main.LargeMapDecreasedLongTasks": "大地图减少长任务"
"option.main.LargeMapDecreasedShortTasks": "大地图减少短任务"
"option.main.LargeMapIncreasedCooldown": "大地图增加冷却时间"
"option.main.MapSettings": "地图设置"
"option.main.MaxChameleons": "最大变色龙数量"
"option.main.MaxEngineers": "最大工程师数量"
"option.main.MaxInvestigators": "最大侦探数量"
"option.main.MaxMystics": "最大灵媒数量"
"option.main.MaxNeutralBenignRoles": "中立善良最大数量"
"option.main.MaxNeutralEvilRoles": "中立邪恶最大数量"
"option.main.MaxNeutralKillingRoles": "中立杀戮最大数量"
"option.main.MaxReveals": "最大揭露次数"
"option.main.MaxSnitches": "最大告密者数量"
"option.main.MaxSpies": "最大卧底数量"
"option.main.MaxTransporters": "最大传送师数量"
"option.main.MaxVigilantes": "最大侠客数量"
"option.main.MayorCultistOn": "<color=#704FA8FF>市长</color>（邪教模式）"
"option.main.MinNeutralBenignRoles": "中立善良最小数量"
"option.main.MinNeutralEvilRoles": "中立邪恶最小数量"
"option.main.MinNeutralKillingRoles": "中立杀戮最小数量"
"option.main.NeutralEvilWinEndsGame": "中立邪恶胜利结束游戏"
"option.main.NeutralRoles": "中立角色"
"option.main.NumberOfSpecialRoles": "特殊角色数量"
"option.main.ParallelMedScans": "并行医疗扫描"
"option.main.RandomMapAirship": "飞艇地图概率"
"option.main.RandomMapEnabled": "随机地图启用"
"option.main.RandomMapFungle": "丛林地图概率"
"option.main.RandomMapMira": "Mira HQ 地图概率"
"option.main.RandomMapPolus": "Polus 地图概率"
"option.main.RandomMapSkeld": "Skeld 地图概率"
"option.main.RandomMapSubmerged": "深海地图概率"
"option.main.RandomNumberImps": "随机伪装者数量"
"option.main.ReviveCooldown": "初始复活冷却时间"
"option.main.SeeTasksDuringMeeting": "会议中可见任务"
"option.main.SeeTasksDuringRound": "回合中可见任务"
"option.main.SeeTasksWhenDead": "死亡后可见任务"
"option.main.SeerCultistOn": "<color=#FFCC80FF>预言家</color>（邪教模式）"
"option.main.SheriffCultistOn": "<color=#FFFF00FF>警长</color>（邪教模式）"
"option.main.SkipButtonDisable": "禁用跳过会议按钮"
"option.main.SmallMapDecreasedCooldown": "Mira HQ 减少冷却时间"
"option.main.SmallMapHalfVision": "小地图半视野"
"option.main.SmallMapIncreasedLongTasks": "小地图增加长任务"
"option.main.SmallMapIncreasedShortTasks": "小地图增加短任务"
"option.main.SurvivorCultistOn": "<color=#FFE64DFF>幸存者</color>（邪教模式）"
"option.main.TaskTrackingSettings": "任务追踪设置"
"option.main.VentImprovements": "优化通风口布局"
"option.main.VeteranCount": "老兵数量"
"option.main.VigilanteCount": "侠客数量"
"option.main.VitalsLab": "生命监测移至实验室"
"option.main.WhisperCooldown": "初始耳语冷却时间"
"option.main.WhisperRadius": "耳语范围"
"option.main.WifiChartCourseSwap": "交换 Wifi 和导航任务"
"option.medic.MedicReportColorDuration": "医生颜色显示时间"
"option.medic.MedicReportNameDuration": "医生名称显示时间"
"option.medic.MedicReportSwitch": "显示医生报告"
"option.medic.ShieldBreaks": "护盾被攻击破坏"
"option.medic.ShowShielded": "显示被保护玩家"
"option.medic.ShowShielded.text1": "自身"
"option.medic.ShowShielded.text2": "医生"
"option.medic.ShowShielded.text3": "自身 + 医生"
"option.medic.ShowShielded.text4": "所有人"
"option.medic.WhoGetsNotification": "谋杀提示接收者"
"option.medic.WhoGetsNotification.text1": "医生"
"option.medic.WhoGetsNotification.text2": "被保护者"
"option.medic.WhoGetsNotification.text3": "所有人"
"option.medic.WhoGetsNotification.text4": "无人"
"option.medium.DeadRevealed": "通灵显示尸体类型"
"option.medium.DeadRevealed.text1": "最早死亡"
"option.medium.DeadRevealed.text2": "最新死亡"
"option.medium.DeadRevealed.text3": "所有死亡"
"option.medium.MediateCooldown": "通灵冷却时间"
"option.medium.ShowMediatePlayer": "显示通灵目标外观"
"option.medium.ShowMediumToDead": "向目标显示通灵者"
"option.miner.MineCooldown": "布雷冷却时间"
"option.morphling.MorphlingCooldown": "变形冷却时间"
"option.morphling.MorphlingDuration": "变形持续时间"
"option.morphling.MorphlingVent": "可使用通风口"
"option.mystic.MysticArrowDuration": "尸体箭头持续时间"
"option.off.text": "关闭"
"option.on.text": "开启"
"option.oracle.ConfessCooldown": "忏悔冷却时间"
"option.oracle.NeutralBenignShowsEvil": "中立善良角色显示为邪恶"
"option.oracle.NeutralEvilShowsEvil": "中立邪恶角色显示为邪恶"
"option.oracle.NeutralKillingShowsEvil": "中立杀戮角色显示为邪恶"
"option.oracle.RevealAccuracy": "揭露准确率"
"option.phantom.PhantomSpook": "胜利后惊吓玩家"
"option.phantom.PhantomTasksRemaining": "可点击幻影剩余任务数"
"option.plaguebearer.InfectCooldown": "感染冷却时间"
"option.plaguebearer.PestKillCooldown": "Pestilence 攻击冷却时间"
"option.plaguebearer.PestVent": "可使用通风口"
"option.preset.saveSt": "预设"
"option.prosecutor.ProsDiesOnIncorrectPros": "错判导致检察官死亡"
"option.save.new": "保存到新文件"
"option.save.return": "返回"
"option.seer.CrewKillingRed": "船员杀戮角色显示红色"
"option.seer.NeutBenignRed": "中立善良角色显示红色"
"option.seer.NeutEvilRed": "中立邪恶角色显示红色"
"option.seer.NeutKillingRed": "中立杀戮角色显示红色"
"option.seer.SeerCooldown": "预言家冷却时间"
"option.seer.TraitorColourSwap": "背叛者不切换颜色"
"option.sheriff.SheriffBodyReport": "警长可报告击杀目标"
"option.sheriff.SheriffKillCd": "警长攻击冷却时间"
"option.sheriff.SheriffKillOther": "警长误杀船员"
"option.sheriff.SheriffKillsArsonist": "警长击杀纵火犯"
"option.sheriff.SheriffKillsDoomsayer": "警长击杀末日预言家"
"option.sheriff.SheriffKillsExecutioner": "警长击杀行刑者"
"option.sheriff.SheriffKillsGlitch": "警长击杀混沌"
"option.sheriff.SheriffKillsJester": "警长击杀小丑"
"option.sheriff.SheriffKillsJuggernaut": "警长击杀天启"
"option.sheriff.SheriffKillsPlaguebearer": "警长击杀瘟疫之源"
"option.sheriff.SheriffKillsVampire": "警长击杀吸血魔"
"option.sheriff.SheriffKillsWerewolf": "警长击杀月下狼人"
"option.snitch.SnitchSeesImpInMeeting": "会议中可见伪装者"
"option.snitch.SnitchSeesNeutrals": "告密者可见独立角色"
"option.snitch.SnitchSeesTraitor": "告密者可见背叛者"
"option.snitch.SnitchTasksRemaining": "揭露剩余任务数"
"option.spy.WhoSeesDead": "管理地图可见尸体角色"
"option.spy.WhoSeesDead.text1": "无人"
"option.spy.WhoSeesDead.text2": "仅卧底"
"option.spy.WhoSeesDead.text3": "除卧底外所有人"
"option.spy.WhoSeesDead.text4": "所有人"
"option.survivor.MaxVests": "最大护甲次数"
"option.survivor.VestCd": "护甲冷却时间"
"option.survivor.VestDuration": "护甲持续时间"
"option.survivor.VestKCReset": "攻击重置冷却时间"
"option.swapper.SwapperButton": "换票师可用按钮"
"option.swooper.SwoopCooldown": "突袭冷却时间"
"option.swooper.SwoopDuration": "突袭持续时间"
"option.swooper.SwooperVent": "可使用通风口"
"option.tracker.MaxTracks": "每回合最大追踪次数"
"option.tracker.ResetOnNewRound": "新回合重置追踪箭头"
"option.tracker.TrackCooldown": "追踪冷却时间"
"option.tracker.UpdateInterval": "箭头更新间隔"
"option.traitor.LatestSpawn": "背叛者最小存活人数"
"option.traitor.NeutralKillingStopsTraitor": "中立杀戮存活时不生成背叛者"
"option.transporter.TransportCooldown": "传送冷却时间"
"option.transporter.TransportMaxUses": "最大传送次数"
"option.transporter.TransporterVitals": "可使用生命监测"
"option.trapper.MaxTraps": "最大陷阱数量"
"option.trapper.MinAmountOfPlayersInTrap": "触发陷阱最小角色数"
"option.trapper.MinAmountOfTimeInTrap": "陷阱触发最小时间"
"option.trapper.TrapCooldown": "陷阱冷却时间"
"option.trapper.TrapSize": "陷阱范围"
"option.trapper.TrapsRemoveOnNewRound": "新回合移除陷阱"
"option.underdog.UnderdogIncreasedKC": "2 + 伪装者时增加冷却"
"option.underdog.UnderdogKillBonus": "潜伏者冷却加成"
"option.undertaker.DragCooldown": "搬运冷却时间"
"option.undertaker.UndertakerDragSpeed": "搬运速度"
"option.undertaker.UndertakerVent": "可使用通风口"
"option.undertaker.UndertakerVentWithBody": "搬运时可使用通风口"
"option.vampire.BiteCooldown": "吸血冷却时间"
"option.vampire.CanBiteNeutralBenign": "可转化中立善良角色"
"option.vampire.CanBiteNeutralEvil": "可转化中立邪恶角色"
"option.vampire.MaxVampiresPerGame": "每局最大吸血鬼数量"
"option.vampire.NewVampCanAssassin": "新吸血鬼可暗杀"
"option.vampire.VampImpVision": "拥有伪装者视野"
"option.vampire.VampVent": "可使用通风口"
"option.vampirehunter.BecomeOnVampDeaths": "吸血鬼全灭后转化为"
"option.vampirehunter.CanStakeRoundOne": "首回合可使用木桩"
"option.vampirehunter.MaxFailedStakesPerGame": "每局最大失败木桩数"
"option.vampirehunter.SelfKillAfterFinalStake": "失败后自毁"
"option.vampirehunter.StakeCooldown": "木桩冷却时间"
"option.venerer.AbilityCooldown": "技能冷却时间"
"option.venerer.AbilityDuration": "技能持续时间"
"option.venerer.FreezeSpeed": "冰冻速度"
"option.venerer.SprintSpeed": "冲刺速度"
"option.veteran.AlertCooldown": "警报冷却时间"
"option.veteran.AlertDuration": "警报持续时间"
"option.veteran.KilledOnAlert": "警报时可被击杀"
"option.veteran.MaxAlerts": "最大警报次数"
"option.vigilante.VigilanteAfterVoting": "投票后可猜测"
"option.vigilante.VigilanteGuessLovers": "可猜测恋人"
"option.vigilante.VigilanteGuessNeutralBenign": "可猜测中立善良角色"
"option.vigilante.VigilanteGuessNeutralEvil": "可猜测中立邪恶角色"
"option.vigilante.VigilanteGuessNeutralKilling": "可猜测中立杀戮角色"
"option.vigilante.VigilanteKills": "侠客击杀次数"
"option.vigilante.VigilanteMultiKill": "单回合多次击杀"
"option.warlock.ChargeUpDuration": "充能完成时间"
"option.warlock.ChargeUseDuration": "充能使用时间"
"option.werewolf.RampageCooldown": "狂暴冷却时间"
"option.werewolf.RampageDuration": "狂暴持续时间"
"option.werewolf.RampageKillCooldown": "狂暴攻击冷却时间"
"option.werewolf.WerewolfVent": "狂暴时可使用通风口"
"other.modName.text": "<color=#00FFFF>周末的</color><color=#00FF00FF>小镇</color>"
"other.pingTracker.baseOn": "基于"
"other.pingTracker.modby": "模组作者:"
"roleIntro.chameleon.ImpostorText": "Turn Invisible Temporarily"
"roleIntro.chameleon.TaskText": "Turn invisible to catch killers"
"roleName.main.altruist": "殉道者"
"roleName.main.amnesiac": "失忆者"
"roleName.main.arsonist": "纵火犯"
"roleName.main.aurial": "灵光师"
"roleName.main.blackmailer": "勒索者"
"roleName.main.bomber": "爆破者"
"roleName.main.chameleon": "变色龙"
"roleName.main.crewmate": "船员"
"roleName.main.detective": "侧写师"
"roleName.main.doomsayer": "末日预言家"
"roleName.main.engineer": "工程师"
"roleName.main.escapist": "逃逸者"
"roleName.main.executioner": "行刑者"
"roleName.main.glitch": "混沌"
"roleName.main.grenadier": "掷弹兵"
"roleName.main.guardianangel": "守护天使"
"roleName.main.haunter": "冤魂"
"roleName.main.imitator": "效颦者"
"roleName.main.impostor": "伪装者"
"roleName.main.investigator": "侦探"
"roleName.main.janitor": "清理者"
"roleName.main.jester": "小丑"
"roleName.main.juggernaut": "天启"
"roleName.main.mayor": "市长"
"roleName.main.medic": "医生"
"roleName.main.medium": "招魂师"
"roleName.main.miner": "矿工"
"roleName.main.morphling": "化形者"
"roleName.main.mystic": "灵媒"
"roleName.main.oracle": "神谕者"
"roleName.main.phantom": "幻影"
"roleName.main.plaguebearer": "瘟疫之源"
"roleName.main.prosecutor": "独裁者"
"roleName.main.seer": "预言家"
"roleName.main.sheriff": "警长"
"roleName.main.snitch": "告密者"
"roleName.main.spy": "卧底"
"roleName.main.survivor": "幸存者"
"roleName.main.swapper": "换票师"
"roleName.main.swooper": "隐身人"
"roleName.main.tracker": "追踪者"
"roleName.main.traitor": "背叛者"
"roleName.main.transporter": "传送师"
"roleName.main.trapper": "安检员"
"roleName.main.undertaker": "送葬者"
"roleName.main.vampire": "吸血魔"
"roleName.main.vampirehunter": "吸血魔杀手"
"roleName.main.venerer": "狩猎者"
"roleName.main.veteran": "老兵"
"roleName.main.vigilante": "侠客"
"roleName.main.warlock": "巫术师"
"roleName.main.werewolf": "月下狼人"
"roleName.modifiers.aftermath": "余波"
"roleName.modifiers.bait": "诱饵"
"roleName.modifiers.buttonbarry": "执钮人"
"roleName.modifiers.diseased": "病人"
"roleName.modifiers.disperser": "分散者"
"roleName.modifiers.doubleshot": "专业刺客"
"roleName.modifiers.flash": "闪电侠"
"roleName.modifiers.frosty": "雪人"
"roleName.modifiers.giant": "巨人"
"roleName.modifiers.lover": "恋人"
"roleName.modifiers.multitasker": "多线程"
"roleName.modifiers.radar": "雷达"
"roleName.modifiers.sleuth": "守墓人"
"roleName.modifiers.tiebreaker": "破平者"
"roleName.modifiers.torch": "火炬"
"roleName.modifiers.underdog": "潜伏者"
